testelapse,depression_mean,age_mean,% participants
752,0.19841,0.25,0.00033
755,0.30159,0.2,0.00033
759,0.34921,0.255,0.00065
768,0.53968,0.16,0.00033
791,0.5873,0.5,0.00033
798,0.72222,0.25,0.00033
805,0.36508,0.59,0.00033
806,0.24603,0.22,0.00033
811,0.49206,0.52,0.00033
819,0.21429,0.57,0.00033
822,0.7381,0.33,0.00033
829,0.34127,0.21,0.00033
832,0.24603,0.56,0.00033
834,0.55556,0.17,0.00033
839,0.3254,0.2,0.00033
841,0.71429,0.19,0.00033
847,0.3254,0.25,0.00033
860,0.05556,0.25,0.00033
861,0.57143,0.23,0.00033
862,0.35714,0.18,0.00033
868,0.68254,0.2,0.00033
874,0.27778,0.19,0.00033
886,0.61111,0.3,0.00033
894,0.61111,0.195,0.00065
896,0.30159,0.25,0.00033
899,0.36508,0.23,0.00033
900,0.2381,0.2,0.00033
903,0.52381,0.42,0.00033
905,0.28571,0.2,0.00033
912,0.42063,0.21,0.00033
913,0.30952,0.16,0.00033
919,0.71429,0.2,0.00033
982,0.5873,0.19,0.00033
994,0.4127,0.18,0.00033
1000,0.23016,0.42,0.00033
1017,0.07937,0.5,0.00033
1022,0.35714,0.22,0.00033
1024,0.63492,0.19,0.00033
1039,0.34127,0.21,0.00033
1040,0.29365,0.36,0.00033
1041,0.33333,0.22,0.00033
1050,0.69841,0.26,0.00033
1071,0.3254,0.37,0.00033
1094,0.61905,0.19,0.00033
1108,0.61905,0.27,0.00033
1109,0.69841,0.24,0.00033
1118,0.3254,0.3,0.00033
1121,0.53175,0.17,0.00033
1124,0.23016,0.44,0.00033
1131,0.18254,0.17,0.00033
1134,0.34127,0.55,0.00033
1137,0.39683,0.27,0.00033
1146,0.95238,0.47,0.00033
1168,0.68254,0.19,0.00033
1169,0.20635,0.19,0.00033
1193,0.51587,0.21,0.00033
1203,0.59524,0.22,0.00033
1229,0.76984,0.27,0.00033
1234,0.15079,0.3,0.00033
1240,0.14286,0.49,0.00033
1282,0.34921,0.19,0.00033
1323,0.72222,0.22,0.00033
1342,0.34127,0.24,0.00033
1343,0.19841,0.215,0.00065
1351,0.78571,0.24,0.00033
1359,0.33333,0.5,0.00033
1363,0.2619,0.26,0.00033
1381,0.19048,0.18,0.00033
1432,0.49206,0.23,0.00033
1562,0.51587,0.18,0.00033
1583,0.6746,0.19,0.00033
1617,0.42857,0.16,0.00033
1647,0.3254,0.24,0.00033
1655,0.04762,0.27,0.00033
1711,0.7381,0.21,0.00033
1744,0.7381,0.35,0.00033
1751,0.1746,0.24,0.00033
1760,0.26984,0.16,0.00033
1772,0.39683,0.26,0.00033
1793,0.7619,0.24,0.00033
1817,0.2619,0.24,0.00033
1876,0.36508,0.2,0.00033
1909,0.09524,0.28,0.00033
1954,0.59524,0.21,0.00033
2013,0.46032,0.21,0.00033
2064,0.49206,0.16,0.00033
2135,0.65079,0.46,0.00033
2140,0.25397,0.25,0.00033
2246,0.15873,0.42,0.00033
2428,0.15873,0.38,0.00033
2496,0.85714,0.24,0.00033
2521,0.56349,0.26,0.00033
2522,0.3254,0.2,0.00033
2577,0.16667,0.16,0.00033
2771,0.23016,0.45,0.00033
2855,0.36508,0.21,0.00033
2866,0.54762,0.22,0.00033
3002,0.11905,0.43,0.00033
3110,0.02381,0.57,0.00033
3369,0.50794,0.18,0.00033
3386,0.34921,0.28,0.00033
3508,0.69048,0.39,0.00033
3639,0.34921,0.27,0.00033
4290,0.7619,0.16,0.00033
4555,0.53968,0.35,0.00033
4736,0.71429,0.22,0.00033
4745,0.55556,0.34,0.00033
4913,0.40476,0.22,0.00033
5140,0.48413,0.26,0.00033
5836,0.8254,0.32,0.00033
5887,0.22222,0.36,0.00033
6050,0.9127,0.21,0.00033
6793,0.30952,0.19,0.00033
7107,0.64286,0.21,0.00033
7172,0.77778,0.4,0.00033
8207,0.75397,0.21,0.00033
9017,0.27778,0.26,0.00033
9601,0.65079,0.23,0.00033
10156,0.30159,0.55,0.00033
11136,0.85714,0.21,0.00033
12040,0.40476,0.2,0.00033
14068,0.84921,0.21,0.00033
16779,0.15873,0.3,0.00033
19931,0.65079,0.18,0.00033
22882,0.51587,0.19,0.00033
22952,0.72222,0.21,0.00033
27553,0.52381,0.23,0.00033
39062,0.19048,0.24,0.00033
73584,0.7381,0.2,0.00033
86490,0.14286,0.22,0.00033
151432,0.77778,0.2,0.00033
12056320,0.36508,0.24,0.00033
